Type,Land Area(m2),Building Age,Building Area(m2),Price,Price per area(NTD/m2),Parking Area((m2)),Parking Area
房地(土地+建物)+車位,24.38,1011214,320.14,81000000,273291,32.9,2500000
房地(土地+建物),25.75,690408,63.04,6800000,107868,0,0
房地(土地+建物),3.46,1050331,51.23,9800000,191294,0,0
房地(土地+建物),4.25,931203,45.18,10650000,235724,0,0
房地(土地+建物),24.81,730417,99.2,14100000,142137,0,0
房地(土地+建物),47.09,890628,155.66,24500000,157394,0,0
房地(土地+建物),4.46,710224,40.07,5600000,139755,0,0
房地(土地+建物),7.47,890302,36.77,7000000,190373,0,0
房地(土地+建物)+車位,35.6,1030513,189.73,32000000,191016,33.46,2150000
房地(土地+建物),39.82,820628,133.94,20200000,150814,0,0
房地(土地+建物)+車位,43.88,820121,158.43,20300000,128132,0,0
房地(土地+建物),3.2,950126,32,7180000,224375,0,0
房地(土地+建物),1.88,660829,19.1,2150000,112565,0,0
房地(土地+建物),32.08,750423,126.85,11700000,92235,0,0
房地(土地+建物),29.15,800102,151.71,22200000,146332,0,0
房地(土地+建物),19.79,730328,62.65,8000000,127694,0,0
房地(土地+建物)+車位,17.69,1050829,230.14,48993241,258840,52.45,3000000
房地(土地+建物)+車位,8.87,1050829,140.73,25284805,259570,52.45,2370000
房地(土地+建物),4.08,680721,34.7,2350000,67723,0,0
房地(土地+建物),10.38,850202,56.77,12000000,211379,0,0
房地(土地+建物)+車位,51.51,950124,225.1,53000000,235451,39.12,0
房地(土地+建物),44.63,860526,119.76,16900000,141116,0,0
房地(土地+建物),9.76,720331,74.37,11500000,154632,0,0
房地(土地+建物)+車位,78.02,1050520,731.4,125960000,172218,163.4,0
房地(土地+建物)+車位,53.94,950731,192.99,32000000,165812,0,0
房地(土地+建物)+車位,48.42,1051005,287.77,96000000,333600,0,0
房地(土地+建物),17.11,820107,62.94,6000000,95329,0,0
房地(土地+建物),23.9,660825,90.61,5902300,65140,0,0
房地(土地+建物),47.87,1050908,293.2,78400000,267394,0,0
房地(土地+建物),20.43,760911,91.51,18400000,201071,0,0
房地(土地+建物),17.76,701223,106.98,18500000,172930,0,0
房地(土地+建物)+車位,10.91,851227,72.04,7600000,105497,0,0
房地(土地+建物),41.75,610401,109.27,28000000,256246,0,0
房地(土地+建物)+車位,53.42,1040429,340.3,66500000,206524,29.44,2300000
房地(土地+建物),22.23,770909,80.77,13500000,167141,0,0
房地(土地+建物),1.16,621225,3.86,711091,184220,0,0
房地(土地+建物)+車位,17.11,971002,130.76,25200000,192719,0,0
房地(土地+建物),33.6,680206,110.47,18000000,162940,0,0
房地(土地+建物),7.73,980818,53.06,7750000,146061,0,0
房地(土地+建物)+車位,47.45,1030411,415.89,82300000,197889,134.88,0
